date,value
2017-12-19,267.170013
2017-12-18,268.200012
2017-12-15,266.51001
2017-12-14,265.660004
2017-12-13,266.75
2017-12-12,266.779999
2017-12-11,266.309998
2017-12-8,265.51001
2017-12-7,264.070007
2017-12-6,263.23999
2017-12-5,263.190002
2017-12-4,264.140015
2017-12-1,264.459991
2017-11-30,265.01001
2017-11-29,262.709991
2017-11-28,262.869995
2017-11-27,260.230011
2017-11-24,260.359985
2017-11-22,259.76001
2017-11-21,259.98999
2017-11-20,258.299988
2017-11-17,257.859985
2017-11-16,258.619995
2017-11-15,256.440002
2017-11-14,257.730011
2017-11-13,258.329987
2017-11-10,258.089996
2017-11-9,258.170013
2017-11-8,259.109985
2017-11-7,258.670013
2017-11-6,258.850006
2017-11-3,258.450012
2017-11-2,257.589996
2017-11-1,257.48999
2017-10-31,257.149994
2017-10-30,256.75
2017-10-27,257.709991
2017-10-26,255.619995
2017-10-25,255.289993
2017-10-24,256.559998
2017-10-23,256.109985
2017-10-20,257.109985
2017-10-19,255.789993
2017-10-18,255.720001
2017-10-17,255.470001
2017-10-16,255.289993
2017-10-13,254.949997
2017-10-12,254.639999
2017-10-11,255.020004
2017-10-10,254.619995
2017-10-9,253.949997
2017-10-6,254.369995
2017-10-5,254.660004
2017-10-4,253.160004
2017-10-3,252.860001
2017-10-2,252.320007
2017-9-29,251.229996
2017-9-28,250.350006
2017-9-27,250.050003
2017-9-26,249.080002
2017-9-25,248.929993
2017-9-22,249.440002
2017-9-21,249.389999
2017-9-20,250.059998
2017-9-19,249.970001
2017-9-18,249.720001
2017-9-15,249.190002
2017-9-14,250.089996
2017-9-13,250.169998
2017-9-12,250.050003
2017-9-11,249.210007
2017-9-8,246.580002
2017-9-7,246.869995
2017-9-6,246.899994
2017-9-5,246.059998
2017-9-1,247.839996
2017-8-31,247.490005
2017-8-30,246.009995
2017-8-29,244.850006
2017-8-28,244.570007
2017-8-25,244.559998
2017-8-24,243.990005
2017-8-23,244.559998
2017-8-22,245.440002
2017-8-21,242.899994
2017-8-18,242.710007
2017-8-17,243.089996
2017-8-16,246.940002
2017-8-15,246.509995
2017-8-14,246.539993
2017-8-11,244.119995
2017-8-10,243.759995
2017-8-9,247.25
2017-8-8,247.259995
2017-8-7,247.869995
2017-8-4,247.410004
2017-8-3,246.960007
2017-8-2,247.440002
2017-8-1,247.320007
2017-7-31,246.770004
2017-7-28,246.910004
2017-7-27,247.199997
2017-7-26,247.429993
2017-7-25,247.419998
2017-7-24,246.820007
2017-7-21,246.880005
2017-7-20,247.100006
2017-7-19,246.990005
2017-7-18,245.660004
2017-7-17,245.529999
2017-7-14,245.559998
2017-7-13,244.419998
2017-7-12,244.009995
2017-7-11,242.190002
2017-7-10,242.369995
2017-7-7,242.110001
2017-7-6,240.550003
2017-7-5,242.770004
2017-7-3,242.210007
2017-6-30,241.800003
2017-6-29,241.350006
2017-6-28,243.490005
2017-6-27,241.330002
2017-6-26,243.289993
2017-6-23,243.130005
2017-6-22,242.839996
2017-6-21,242.949997
2017-6-20,243.009995
2017-6-19,244.660004
2017-6-16,242.639999
2017-6-15,243.770004
2017-6-14,244.240005
2017-6-13,244.550003
2017-6-12,243.360001
2017-6-9,243.410004
2017-6-8,243.779999
2017-6-7,243.660004
2017-6-6,243.210007
2017-6-5,243.990005
2017-6-2,244.169998
2017-6-1,243.360001
2017-5-31,241.440002
2017-5-30,241.5
2017-5-26,241.710007
2017-5-25,241.759995
2017-5-24,240.610001
2017-5-23,240.050003
2017-5-22,239.520004
2017-5-19,238.309998
2017-5-18,236.770004
2017-5-17,235.820007
2017-5-16,240.080002
2017-5-15,240.300003
2017-5-12,238.979996
2017-5-11,239.380005
2017-5-10,239.869995
2017-5-9,239.440002
2017-5-8,239.660004
2017-5-5,239.699997
2017-5-4,238.759995
2017-5-3,238.479996
2017-5-2,238.770004
2017-5-1,238.679993
2017-4-28,238.080002
2017-4-27,238.600006
2017-4-26,238.399994
2017-4-25,238.550003
2017-4-24,237.169998
2017-4-21,234.589996
2017-4-20,235.339996
2017-4-19,233.440002
2017-4-18,233.869995
2017-4-17,234.570007
2017-4-13,232.509995
2017-4-12,234.029999
2017-4-11,235.059998
2017-4-10,235.339996
2017-4-7,235.199997
2017-4-6,235.440002
2017-4-5,234.779999
2017-4-4,235.479996
2017-4-3,235.330002
2017-3-31,235.740005
2017-3-30,236.289993
2017-3-29,235.539993
2017-3-28,235.320007
2017-3-27,233.619995
2017-3-24,233.860001
2017-3-23,234.029999
2017-3-22,234.279999
2017-3-21,233.729996
2017-3-20,236.770004
2017-3-17,237.029999
2017-3-16,238.479996
2017-3-15,238.949997
2017-3-14,236.899994
2017-3-13,237.809998
2017-3-10,237.690002
2017-3-9,236.860001
2017-3-8,236.559998
2017-3-7,237
2017-3-6,237.710007
2017-3-3,238.419998
2017-3-2,238.270004
2017-3-1,239.779999
2017-2-28,236.470001
2017-2-27,237.110001
2017-2-24,236.740005
2017-2-23,236.440002
2017-2-22,236.279999
2017-2-21,236.490005
2017-2-17,235.089996
2017-2-16,234.720001
2017-2-15,234.919998
2017-2-14,233.699997
2017-2-13,232.770004
2017-2-10,231.509995
2017-2-9,230.600006
2017-2-8,229.240005
2017-2-7,228.940002
2017-2-6,228.929993
2017-2-3,229.339996
2017-2-2,227.770004
2017-2-1,227.619995
2017-1-31,227.529999
2017-1-30,227.550003
2017-1-27,228.970001
2017-1-26,229.330002
2017-1-25,229.570007
2017-1-24,227.600006
2017-1-23,226.149994
2017-1-20,226.740005
2017-1-19,225.910004
2017-1-18,226.75
2017-1-17,226.25
2017-1-13,227.050003
2017-1-12,226.529999
2017-1-11,227.100006
2017-1-10,226.460007
2017-1-9,226.460007
2017-1-6,227.210007
2017-1-5,226.399994
2017-1-4,226.580002
2017-1-3,225.240005
2016-12-30,223.529999
2016-12-29,224.350006
2016-12-28,224.399994
2016-12-27,226.270004
2016-12-23,225.710007
2016-12-22,225.380005
2016-12-21,225.770004
2016-12-20,226.399994
2016-12-19,225.529999
2016-12-16,225.039993
2016-12-15,226.809998
2016-12-14,225.880005
2016-12-13,227.759995
2016-12-12,226.25
2016-12-9,226.509995
2016-12-8,225.149994
2016-12-7,224.600006
2016-12-6,221.699997
2016-12-5,221
2016-12-2,219.679993
2016-12-1,219.570007
2016-11-30,220.380005
2016-11-29,220.910004
2016-11-28,220.479996
2016-11-25,221.520004
2016-11-23,220.699997
2016-11-22,220.580002
2016-11-21,220.149994
2016-11-18,218.5
2016-11-17,218.990005
2016-11-16,217.869995
2016-11-15,218.279999
2016-11-14,216.589996
2016-11-11,216.419998
2016-11-10,216.919998
2016-11-9,216.380005
2016-11-8,214.110001
2016-11-7,213.149994
2016-11-4,208.550003
2016-11-3,208.779999
2016-11-2,209.740005
2016-11-1,211.009995
2016-10-31,212.550003
2016-10-28,212.539993
2016-10-27,213.169998
2016-10-26,213.740005
2016-10-25,214.169998
2016-10-24,214.889999
2016-10-21,213.979996
